Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_Dropout.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/Dropout_20211027/best_acc1.pth.tar', ensemble_size=50, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
     49  0.8779  0.3605  0.0063  0.3572  0.0000
     50  0.8772  0.3606  0.0052  0.3572  0.0000

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8435  0.4901  0.0259  0.4838  1.4844
      2  0.8602  0.4302  0.0114  0.4366  1.2969
      3  0.8651  0.4115  0.0092  0.4149  1.2133
      4  0.8660  0.3996  0.0079  0.4028  1.1664
      5  0.8683  0.3927  0.0081  0.3939  1.1320
      6  0.8705  0.3874  0.0093  0.3886  1.1102
      7  0.8707  0.3817  0.0066  0.3846  1.0945
      8  0.8708  0.3787  0.0088  0.3824  1.0852
      9  0.8719  0.3771  0.0087  0.3804  1.0758
     10  0.8704  0.3749  0.0082  0.3760  1.0641
     11  0.8724  0.3732  0.0085  0.3734  1.0555
     12  0.8727  0.3720  0.0076  0.3716  1.0492
     13  0.8721  0.3712  0.0068  0.3707  1.0453
     14  0.8729  0.3699  0.0042  0.3700  1.0414
     15  0.8738  0.3690  0.0062  0.3704  1.0398
     16  0.8745  0.3678  0.0084  0.3697  1.0367
     17  0.8744  0.3674  0.0063  0.3686  1.0336
     18  0.8743  0.3674  0.0064  0.3671  1.0305
     19  0.8738  0.3662  0.0078  0.3671  1.0289
     20  0.8747  0.3659  0.0064  0.3673  1.0281
     21  0.8739  0.3652  0.0073  0.3664  1.0258
     22  0.8747  0.3647  0.0074  0.3666  1.0250
     23  0.8746  0.3644  0.0071  0.3657  1.0227
     24  0.8758  0.3639  0.0072  0.3655  1.0219
     25  0.8757  0.3638  0.0074  0.3651  1.0203
     26  0.8755  0.3633  0.0081  0.3653  1.0203
     27  0.8757  0.3630  0.0071  0.3645  1.0187
     28  0.8759  0.3629  0.0079  0.3640  1.0172
     29  0.8760  0.3629  0.0066  0.3637  1.0164
     30  0.8761  0.3628  0.0069  0.3633  1.0148
     31  0.8764  0.3627  0.0083  0.3633  1.0148
     32  0.8765  0.3627  0.0071  0.3636  1.0148
     33  0.8760  0.3627  0.0063  0.3631  1.0141
     34  0.8764  0.3626  0.0070  0.3625  1.0125
     35  0.8765  0.3624  0.0060  0.3622  1.0117
     36  0.8770  0.3623  0.0069  0.3623  1.0117
     37  0.8773  0.3621  0.0064  0.3619  1.0109
     38  0.8769  0.3615  0.0066  0.3616  1.0102
     39  0.8763  0.3613  0.0075  0.3614  1.0094
     40  0.8769  0.3613  0.0076  0.3611  1.0086
     41  0.8770  0.3615  0.0070  0.3604  1.0070
     42  0.8766  0.3613  0.0065  0.3605  1.0070
     43  0.8774  0.3614  0.0067  0.3596  1.0055
     44  0.8770  0.3613  0.0066  0.3597  1.0055
     45  0.8772  0.3613  0.0071  0.3597  1.0055
     46  0.8775  0.3611  0.0063  0.3592  1.0047
     47  0.8768  0.3610  0.0055  0.3591  1.0039
     48  0.8775  0.3608  0.0068  0.3591  1.0039
     49  0.8779  0.3605  0.0066  0.3588  1.0031
     50  0.8772  0.3606  0.0052  0.3584  1.0023

Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_Dropout.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/Dropout_20211027/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=False, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8468  0.5495  0.0793  0.2292  0.0000
     30  0.8748  0.3615  0.0067  0.3542  0.3201

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8468  0.4831  0.0239  0.4626  1.4555
     30  0.8748  0.3615  0.0058  0.3586  1.0086

